Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
"Florian, Voldaren Scion",MID,Innistrad: Midnight Hunt,318,normal,rare,1,63306,74b100ae-5795-4583-88a1-a428b090a80f,0.36,false,false,near_mint,fr,EUR
Read the Bones,DSC,Duskmourn: House of Horror Commander,154,normal,common,2,99301,b3198f96-f9d8-494f-a556-24ce3ad3895d,0.26,false,false,near_mint,fr,EUR
Cathars' Crusade,INR,Innistrad Remastered,17,normal,rare,2,102543,5296e353-2efc-4d72-a877-7957eff630b9,4.5,false,false,near_mint,fr,EUR
Blood Artist,VOC,Crimson Vow Commander,119,normal,uncommon,1,64665,fe97a73f-33fd-4394-a393-ceb41a214820,1.64,false,false,near_mint,fr,EUR
Vanishing Verse,STX,Strixhaven: School of Mages,244,normal,rare,1,58352,e12573fe-aee3-49db-93e2-d00972cbb3b1,0.83,false,false,near_mint,fr,EUR
Portcullis Vine,M21,Core Set 2021,195,normal,common,1,51005,d1abd95a-4ecc-479c-b200-5aaf7c993ef8,0.1,false,false,near_mint,fr,EUR
Thundering Rebuke,ZNR,Zendikar Rising,170,normal,uncommon,3,54780,dc671707-4708-44d8-8ec8-d5332599adf9,0.04,false,false,near_mint,fr,EUR
Bishop of Binding,RIX,Rivals of Ixalan,2,normal,rare,1,3016,aaadceb3-8a57-45de-b3f1-aca94f20de18,0.2,false,false,near_mint,fr,EUR
Igneous Cur,M21,Core Set 2021,153,normal,common,1,51006,d2bfec5d-3182-415a-afe8-0b5511cfd656,0.1,false,false,near_mint,fr,EUR
Plains,MID,Innistrad: Midnight Hunt,269,normal,common,1,63258,5acefadb-8b2f-4319-a5e9-1e8fd9ef3086,0.16,false,false,near_mint,fr,EUR
Foreboding Ruins,DSC,Duskmourn: House of Horror Commander,277,normal,rare,1,99392,e9236b80-fa80-4da3-a357-db7749011499,0.27,false,false,near_mint,fr,EUR
